loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
6200,60 months,10.69,133.85,C,2 years,MORTGAGE,44900,Not Verified,debt_consolidation,26.01,0,704,38.9,Charged Off
18000,36 months,13.14,607.71,C,10+ years,OWN,103600,Source Verified,debt_consolidation,34.22,0,702,63.3,Charged Off
19600,36 months,7.2,606.98,A,5 years,MORTGAGE,37400,Not Verified,debt_consolidation,9.2,0,743,12.9,Fully Paid
7600,60 months,12.9,172.53,C,10+ years,RENT,73200,Verified,credit_card,25.63,0,710,73.1,Charged Off
17400,60 months,9.43,364.84,B,10+ years,MORTGAGE,97300,Verified,other,22.04,0,732,44.3,Charged Off
17600,36 months,17.51,631.96,D,3 years,MORTGAGE,54700,Source Verified,debt_consolidation,12.26,0,697,53.3,Charged Off
31400,60 months,9.88,665.3,B,1 year,MORTGAGE,77600,Not Verified,debt_consolidation,7.9,0,723,70.8,Charged Off
14600,60 months,8.76,301.37,B,4 years,RENT,38400,Source Verified,credit_card,9.72,0,726,53.6,Fully Paid
17500,36 months,13.51,593.95,C,6 years,RENT,30000,Not Verified,credit_card,21.29,0,680,67.9,Charged Off
14300,60 months,9.37,299.42,B,6 years,RENT,32700,Not Verified,debt_consolidation,15.42,1,714,83.8,Fully Paid
12900,36 months,22.87,498.48,E,10+ years,RENT,47400,Not Verified,credit_card,30.79,0,670,44.7,Fully Paid
21600,60 months,19.76,569.39,E,< 1 year,RENT,44500,Not Verified,debt_consolidation,18.1,0,653,54.8,Charged Off
7100,36 months,9.89,228.73,B,1 year,MORTGAGE,61900,Not Verified,debt_consolidation,16.13,0,706,85.7,Charged Off
6700,60 months,13.08,152.72,C,7 years,MORTGAGE,45500,Not Verified,car,13.69,0,698,40.3,Fully Paid
7500,60 months,13.28,171.72,C,10+ years,MORTGAGE,74200,Not Verified,debt_consolidation,16.88,0,682,87.7,Charged Off
12700,36 months,12.52,424.98,C,< 1 year,MORTGAGE,145900,Source Verified,debt_consolidation,17.98,2,697,19.8,Fully Paid
18100,60 months,17.47,454.42,D,5 years,RENT,66500,Not Verified,debt_consolidation,15.91,0,692,63.0,Fully Paid
5400,36 months,16.13,190.19,D,4 years,MORTGAGE,58200,Source Verified,credit_card,18.62,0,676,66.5,Charged Off
11300,60 months,19.76,297.87,E,6 years,RENT,301500,Not Verified,debt_consolidation,28.93,1,657,17.2,Charged Off
8200,36 months,20.28,305.91,E,9 years,OWN,60600,Verified,car,33.3,0,688,47.2,Charged Off
23400,60 months,12.0,520.52,B,2 years,OWN,36100,Source Verified,credit_card,5.68,0,708,37.8,Fully Paid
15200,36 months,13.67,517.07,D,10+ years,MORTGAGE,62700,Not Verified,credit_card,25.89,1,676,91.4,Charged Off
7900,36 months,10.15,255.47,B,10+ years,MORTGAGE,37400,Not Verified,debt_consolidation,13.22,0,709,62.5,Fully Paid
9800,60 months,27.53,302.36,G,9 years,MORTGAGE,78500,Source Verified,credit_card,7.02,0,651,28.1,Charged Off
24100,60 months,7.05,477.78,A,10+ years,MORTGAGE,183300,Verified,small_business,32.41,0,775,13.4,Charged Off
5900,36 months,16.48,208.83,E,10+ years,OWN,19200,Source Verified,debt_consolidation,26.14,1,663,60.9,Charged Off
5600,36 months,6.04,170.46,A,3 years,RENT,138900,Not Verified,debt_consolidation,23.67,0,753,32.5,Fully Paid
4400,36 months,6.76,135.38,A,7 years,MORTGAGE,104000,Not Verified,credit_card,8.83,0,757,19.5,Fully Paid
24300,36 months,17.74,875.34,E,10+ years,MORTGAGE,130400,Not Verified,debt_consolidation,12.03,1,664,31.8,Charged Off
9000,36 months,14.46,309.61,D,2 years,MORTGAGE,79300,Verified,debt_consolidation,10.24,1,696,81.1,Fully Paid
7400,36 months,15.99,260.13,C,10+ years,MORTGAGE,52500,Verified,credit_card,26.97,0,715,86.6,Fully Paid
9400,36 months,30.0,399.04,G,2 years,RENT,134600,Verified,credit_card,16.36,0,645,72.1,Charged Off
14500,36 months,8.47,457.53,B,5 years,MORTGAGE,83800,Verified,debt_consolidation,4.19,0,728,45.8,Fully Paid
25400,60 months,12.13,566.68,C,10+ years,RENT,51400,Not Verified,debt_consolidation,19.93,0,684,45.6,Fully Paid
15400,60 months,12.23,344.36,B,6 years,OTHER,76700,Verified,debt_consolidation,9.2,0,715,27.0,Fully Paid
27200,36 months,9.67,873.46,B,1 year,RENT,165400,Not Verified,debt_consolidation,41.08,0,689,38.5,Charged Off
9300,36 months,20.16,346.38,E,5 years,MORTGAGE,149600,Not Verified,debt_consolidation,3.52,0,683,87.2,Fully Paid
5900,36 months,13.66,200.68,C,10+ years,MORTGAGE,74300,Source Verified,debt_consolidation,27.97,0,708,37.2,Charged Off
38200,36 months,10.61,1243.58,B,7 years,MORTGAGE,54200,Not Verified,debt_consolidation,23.71,0,715,73.2,Fully Paid
12200,36 months,10.37,395.78,B,10+ years,OWN,31700,Not Verified,other,19.19,0,716,70.6,Fully Paid
9700,36 months,11.88,321.62,B,4 years,RENT,117800,Not Verified,debt_consolidation,23.3,0,694,48.2,Fully Paid
13200,60 months,14.62,311.4,C,4 years,MORTGAGE,92400,Verified,credit_card,9.26,0,693,61.1,Fully Paid
13700,36 months,16.26,483.41,D,10+ years,MORTGAGE,125700,Not Verified,debt_consolidation,15.78,0,690,46.2,Charged Off
3300,60 months,10.06,70.21,C,7 years,RENT,20700,Not Verified,credit_card,30.34,0,712,48.8,Charged Off
21900,60 months,20.73,589.15,E,10+ years,MORTGAGE,74500,Not Verified,other,14.07,0,674,26.9,Charged Off
10600,60 months,19.1,275.55,D,10+ years,OWN,24400,Source Verified,debt_consolidation,10.09,0,700,75.3,Fully Paid
22500,36 months,11.85,745.71,C,5 years,MORTGAGE,64600,Not Verified,debt_consolidation,15.97,0,717,15.5,Fully Paid
4600,36 months,9.92,148.26,B,2 years,MORTGAGE,53700,Not Verified,debt_consolidation,17.48,0,710,54.6,Fully Paid
22000,36 months,18.34,799.11,D,,MORTGAGE,95000,Verified,small_business,30.12,0,693,71.2,Charged Off
7500,36 months,10.53,243.87,B,1 year,MORTGAGE,102600,Verified,debt_consolidation,25.27,0,732,21.3,Fully Paid
11300,36 months,14.12,386.87,D,10+ years,OWN,138000,Not Verified,credit_card,9.06,2,692,54.4,Fully Paid
13100,36 months,18.21,474.98,D,5 years,RENT,38300,Source Verified,credit_card,12.28,0,675,76.0,Fully Paid
16400,36 months,10.16,530.41,B,10+ years,MORTGAGE,56200,Not Verified,credit_card,20.67,1,701,63.1,Fully Paid
8200,36 months,11.7,271.18,B,10+ years,OWN,112300,Not Verified,credit_card,10.83,0,705,29.0,Fully Paid
9700,36 months,15.64,339.3,C,3 years,OTHER,64400,Source Verified,debt_consolidation,17.34,0,697,50.4,Fully Paid
23900,36 months,10.54,777.26,B,4 years,MORTGAGE,68800,Verified,debt_consolidation,4.66,1,711,70.3,Fully Paid
17900,36 months,9.62,574.39,B,< 1 year,RENT,127200,Not Verified,credit_card,18.7,1,711,22.6,Fully Paid
12500,36 months,18.2,453.16,D,< 1 year,MORTGAGE,63400,Not Verified,debt_consolidation,33.8,1,679,68.3,Fully Paid
