loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,revol_util,loan_status
7600,36 months,11.39,250.22,B,3 years,MORTGAGE,72500,Verified,debt_consolidation,13.12,1,725,48.0,Fully Paid
12800,60 months,14.74,302.77,C,10+ years,RENT,24500,Not Verified,debt_consolidation,28.1,0,692,50.5,Fully Paid
11400,36 months,7.06,352.31,A,3 years,MORTGAGE,112500,Verified,debt_consolidation,22.78,0,747,66.4,Fully Paid
40000,36 months,21.11,1509.26,E,8 years,RENT,71300,Verified,debt_consolidation,15.85,0,671,17.6,Fully Paid
12600,36 months,9.99,406.51,B,6 years,RENT,63500,Not Verified,debt_consolidation,9.31,1,733,39.0,Fully Paid
39600,60 months,11.67,874.29,B,10+ years,MORTGAGE,71500,Not Verified,debt_consolidation,22.94,0,703,86.1,Charged Off
6900,36 months,15.96,242.45,C,10+ years,OWN,42800,Source Verified,debt_consolidation,13.13,0,709,19.4,Charged Off
40000,60 months,23.11,1130.15,F,10+ years,RENT,50700,Not Verified,small_business,8.04,0,665,52.5,Charged Off
5900,36 months,14.08,201.88,D,3 years,RENT,106200,Verified,debt_consolidation,29.71,0,684,88.0,Charged Off
12400,36 months,10.43,402.62,B,10+ years,MORTGAGE,25200,Not Verified,credit_card,31.54,0,716,72.1,Charged Off
7600,36 months,14.22,260.56,C,10+ years,OWN,165900,Verified,debt_consolidation,18.3,0,701,59.8,Fully Paid
5900,36 months,14.97,204.44,C,7 years,RENT,67100,Not Verified,debt_consolidation,32.3,0,701,80.2,Fully Paid
8300,36 months,20.72,311.51,E,10+ years,MORTGAGE,48600,Not Verified,home_improvement,16.16,0,672,39.2,Fully Paid
24600,36 months,15.84,862.92,C,10+ years,MORTGAGE,114800,Not Verified,major_purchase,25.23,0,696,61.2,Charged Off
10500,60 months,7.93,212.55,A,10+ years,MORTGAGE,130700,Not Verified,debt_consolidation,17.16,0,770,64.0,Fully Paid
7600,36 months,13.93,259.49,C,5 years,RENT,219200,Not Verified,other,15.71,0,673,25.9,Fully Paid
5200,36 months,21.95,198.46,F,7 years,MORTGAGE,33600,Source Verified,debt_consolidation,26.09,0,653,52.2,Fully Paid
10700,36 months,13.62,363.73,C,7 years,MORTGAGE,106900,Verified,debt_consolidation,21.82,0,708,86.8,Fully Paid
40000,36 months,6.95,1234.17,A,9 years,MORTGAGE,26800,Not Verified,debt_consolidation,6.79,0,748,47.3,Fully Paid
6000,36 months,7.91,187.77,A,10+ years,RENT,75700,Source Verified,home_improvement,23.53,1,774,64.6,Fully Paid
13100,36 months,13.04,441.64,C,8 years,MORTGAGE,85500,Verified,credit_card,20.98,0,719,56.5,Fully Paid
11600,60 months,12.43,260.56,C,< 1 year,RENT,45500,Source Verified,debt_consolidation,6.5,0,690,71.0,Fully Paid
10500,36 months,13.5,356.32,D,7 years,RENT,87200,Not Verified,debt_consolidation,14.78,0,695,25.1,Fully Paid
9000,36 months,14.09,307.99,D,3 years,MORTGAGE,71500,Source Verified,credit_card,32.21,1,706,29.6,Fully Paid
10000,60 months,8.09,203.19,A,< 1 year,MORTGAGE,127800,Verified,medical,5.25,0,761,70.0,Fully Paid
19200,36 months,10.22,621.52,B,9 years,OWN,80300,Source Verified,debt_consolidation,19.69,1,727,80.7,Fully Paid
17200,36 months,17.06,613.74,D,< 1 year,MORTGAGE,59500,Verified,debt_consolidation,9.78,1,677,54.1,Fully Paid
10000,36 months,19.18,367.47,D,3 years,MORTGAGE,99400,Source Verified,debt_consolidation,2.9,0,678,63.9,Charged Off
14200,60 months,10.14,302.69,B,10+ years,RENT,77100,Source Verified,debt_consolidation,13.51,1,721,39.4,Fully Paid
22800,36 months,8.75,722.38,B,< 1 year,RENT,52800,Not Verified,debt_consolidation,7.8,1,695,77.0,Fully Paid
4900,60 months,15.07,116.75,D,10+ years,MORTGAGE,117500,Not Verified,major_purchase,16.46,0,662,77.0,Fully Paid
36400,60 months,30.0,1177.66,G,10+ years,MORTGAGE,38600,Not Verified,credit_card,11.15,1,654,35.4,Charged Off
12600,60 months,19.49,330.26,E,2 years,MORTGAGE,87500,Not Verified,debt_consolidation,15.54,0,658,38.8,Fully Paid
8800,36 months,15.67,307.95,D,2 years,RENT,38400,Not Verified,home_improvement,20.18,0,668,26.3,Fully Paid
25400,60 months,12.83,575.72,C,7 years,MORTGAGE,93400,Not Verified,other,30.69,0,711,60.8,Fully Paid
9900,36 months,11.69,327.36,B,2 years,MORTGAGE,69800,Verified,major_purchase,36.82,1,717,35.9,Fully Paid
14700,36 months,28.23,609.87,G,10+ years,MORTGAGE,12000,Not Verified,debt_consolidation,24.71,0,645,65.5,Charged Off
9400,36 months,16.73,333.87,D,10+ years,RENT,80600,Not Verified,debt_consolidation,12.4,0,669,59.0,Fully Paid
3600,36 months,8.1,112.98,A,10+ years,RENT,161400,Verified,credit_card,23.05,2,744,49.1,Charged Off
7700,60 months,9.96,163.45,B,,MORTGAGE,205000,Source Verified,credit_card,8.2,0,739,63.3,Fully Paid
25600,60 months,14.87,607.28,C,10+ years,MORTGAGE,133700,Source Verified,other,16.92,1,694,55.3,Fully Paid
5300,60 months,11.6,116.83,C,7 years,RENT,85400,Not Verified,debt_consolidation,26.09,0,680,61.5,Fully Paid
6400,36 months,10.61,208.35,B,10+ years,MORTGAGE,80900,Verified,debt_consolidation,26.14,0,719,27.4,Fully Paid
26200,36 months,19.9,972.35,E,9 years,MORTGAGE,79100,Not Verified,credit_card,16.37,1,665,57.3,Fully Paid
15200,60 months,12.98,345.69,C,4 years,MORTGAGE,238000,Not Verified,debt_consolidation,11.13,0,709,31.3,Fully Paid
9900,36 months,6.47,303.29,A,10+ years,MORTGAGE,52300,Not Verified,debt_consolidation,10.1,1,737,62.3,Fully Paid
20600,36 months,11.79,682.15,B,10+ years,RENT,27700,Source Verified,debt_consolidation,8.47,0,714,46.8,Fully Paid
16400,36 months,14.77,566.67,C,2 years,MORTGAGE,36500,Verified,debt_consolidation,6.36,0,695,32.4,Fully Paid
8400,36 months,9.85,270.45,B,6 years,RENT,116700,Verified,debt_consolidation,25.96,0,713,40.2,Fully Paid
34000,60 months,9.17,708.59,B,5 years,MORTGAGE,66300,Source Verified,credit_card,16.23,0,740,61.1,Charged Off
8100,36 months,8.66,256.3,B,6 years,MORTGAGE,60900,Not Verified,debt_consolidation,26.5,0,715,70.0,Fully Paid
17500,36 months,13.35,592.6,C,10+ years,RENT,28300,Not Verified,debt_consolidation,19.98,0,705,43.8,Fully Paid
12100,60 months,9.7,255.31,B,2 years,OWN,70200,Source Verified,debt_consolidation,13.82,1,727,39.6,Fully Paid
40000,36 months,14.61,1378.99,D,8 years,RENT,41000,Verified,debt_consolidation,20.12,0,693,64.4,Fully Paid
5100,60 months,9.02,105.92,B,2 years,MORTGAGE,86800,Source Verified,debt_consolidation,6.5,0,712,64.8,Fully Paid
6900,60 months,12.66,155.8,C,6 years,RENT,127300,Not Verified,credit_card,22.57,1,712,48.5,Charged Off
14000,36 months,10.32,453.85,B,10+ years,OWN,90000,Source Verified,small_business,27.84,0,712,49.6,Fully Paid
